ubc_number,mine,tsf,owner_company,country,latitude,longitude,status,construction_year,current_tailings_storage,planned_storage_5_years,hazard_categorization,source,link,index_right,um_class,conf,name,lith,ref_source,publish,dist_m,dist_km
1776,Garden Well,GWTSF2,Regis Resources,Australia,-27.904167,122.370556,Inactive,2018.0,5000000.0,11000000.0,Medium,Global Tailing Dam [https://www.grida.no/publications/472],https://www.regisresources.com.au/Environment/dam-and-tailings-management.html,21976,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,2796.4925434505367,2.8
2070,Moolart Well Gold Mine,BANTSF1,Regis Resources,Australia,-27.966,122.316,Decommissioned,1990.0,700000.0,700000.0,Low,Global Tailing Dam [https://www.grida.no/publications/472],www.regisresources.com.au,21508,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,72.42244845640188,0.1
2067,Moolart Well Gold Mine,GWTSF1,Regis Resources,Australia,-27.894,122.374,Inactive,2012.0,24300000.0,39000000.0,High,Global Tailing Dam [https://www.grida.no/publications/472],www.regisresources.com.au,20320,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,3619.06156117274,3.6
2068,Moolart Well Gold Mine,GWTSF2,Regis Resources,Australia,-27.904,122.371,Inactive,2018.0,5000000.0,11000000.0,Medium,Global Tailing Dam [https://www.grida.no/publications/472],www.regisresources.com.au,21976,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,2848.393059522655,2.8
2069,Moolart Well Gold Mine,GWTSF3,Regis Resources,Australia,-27.924,122.38,Active,2020.0,0.0,32000000.0,Medium,Global Tailing Dam [https://www.grida.no/publications/472],www.regisresources.com.au,21976,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,2788.25761893669,2.8
1777,Baneygo,BANTSF1,Regis Resources,Australia,-27.966111,122.316111,Closed,1990.0,700000.0,700000.0,Low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.regisresources.com.au/Environment/dam-and-tailings-management.html,21508,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,77.4692501825593,0.1
1467,DeGrussa Copper Mine,DeGrussa Copper Mine TSF,Sandfire Resources,Australia,-25.536633,119.315194,Active,2012.0,3040000.0,6280000.0,Medium,Global Tailing Dam [https://www.grida.no/publications/472],https://www.sandfire.com.au/site/PDF/2463_0/tailingsmanagement,20865,major,high,Narracoota Formation,igneous mafic volcanic; igneous ultramafic intrusive,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,1784.0776966352537,1.8
1663,Bannockburn Gold Mine,"Bannockburn  - Cells
1, 2 & 3",Saracen Mineral,Australia,-28.448564,120.904381,Closed,1993.0,6100000.0,,,Global Tailing Dam [https://www.grida.no/publications/472],https://www.saracen.com.au/files/1715/6472/6752/TSF_Disclosure_Statement_2019.pdf,20193,major,high,ultramafic and minor mafic rocks 74475,igneous ultramafic intrusive; meta-igneous ultramafic volcanic,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,766.1833307836673,0.8
1664,Carosue Dam Gold Mine,Carosue Dam - Luvironza In-Pit,Saracen Mineral,Australia,-30.107053,122.344856,Inactive Care and Maintenance,2012.0,4500000.0,4500000.0,Included in CDO Assessment,Global Tailing Dam [https://www.grida.no/publications/472],https://www.saracen.com.au/files/1715/6472/6752/TSF_Disclosure_Statement_2019.pdf,22240,major,high,ultramafic and meta-ultramafic rock 74281,meta-igneous ultramafic intrusive,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,4937.53844249536,4.9
1717,Plutonic Gold Mine,"Brooke Pit TSF
(BPTSF)",Superior Gold,Australia,-25.324171,119.508497,Rehabilitated,2011.0,118680.0,118680.0,Very Low,Global Tailing Dam [https://www.grida.no/publications/472],https://www.superior-gold.com/site/assets/files/2040/superior-gold-tsf-management.pdf,21843,major,high,metamorphosed ultramafic rocks 74286,igneous ultramafic volcanic; meta-igneous ultramafic intrusive,"Geoscience Australia, Surface Geology of Australia 1:1M (2012)",True,0.0,0.0
