legend_id,source_id,scale,um_class,um_terms,um_rock,name,lith,area_km2,lith_id
37502,22,large,major,peridotit,peridotite,Oxidized and hydrated peridotite,peridotite,0.018,61
19228,20,large,major,peridotit;serpentin,dunite,Applegate Group; Applegate Amphibolite,"Major: {dunite, alteration: hydrothermal; matrix: serpentine; zones: melange}; Major: {tectonite harzburgite, alteration: hydrothermal; matrix: serpentine; zones: melange}; Major: {peridotite, alteration: hydrothermal; matrix: serpentine; zones: melange} Minor: {chromite}; Minor: {websterite}; Minor: {lherzolite}",1.638,61;128
54191,96,large,idonly,harmonised-lith-id,,"Franciscan Complex, melange",,110.145,8;10;12;14;45;70;76;84;86;87;88;90;91;98;132
25670,20,large,major,dunit,dunite,Western Klamath Terrane; Smith River Subterrane; Josephine Ophiolite,"Major: {dunite, veins: cross-cutting the fabric; mineralogy: olivine}",1.874,128
14726,13,large,minor,ultramaf,ultramafic rock (undifferentiated),Jagged Gneiss derived from Western Fiordland Orthogneiss (Median Batholith),"Major:: {amphibolite},Minor:: {mylonite, dioritic orthogniess, gabbro, ultramafics}",11.418,59;81;86
53622,93,large,idonly,harmonised-lith-id,,"Central Belt of the Franciscan Complex, sandstone",,20.211,7;8;10;12;14;45;59;69;70;88;94;176
25125,20,large,major,serpentin,serpentinite,Sexton Mtn. Terrane; Greenback Melange,"Major: {serpentinite, dark green, black; serpentinization: serpentinized} Minor: {peridotite}",1.669,61;88
53649,93,large,idonly,harmonised-lith-id,,"Great Valley(?) Complex, Undifferentiated German Rancho Formation and Gualala Formation",,10.14,7;10;11;14;57;59;62;63;69;70;79;84;85;86;94;161
25207,20,large,major,serpentin,serpentinite,Sixes River Terrane,Major: {serpentinite},1.452,88
25219,20,large,major,peridotit,dunite,Snow Camp Terrane,"Major: {dunite, greenish to black black; serpentinization: partial; mineralogy: olivine, orthopyroxene}; Major: {peridotite} Minor: {gabbro dikes}; Minor: {harzburgite}; Minor: {feldspathic harzburgite}",2.338,59;61;128
70368,160,large,major,peridotit;serpentin,serpentinite,Serpentine and serpentined peridotite,serpentine and serpentined peridotite,23.437,61
16576,13,large,major,dunit;harzburg;pyroxenit;ultramaf,harzburgite,"Undifferentiated Dun Mountain Ultramafics Group harzburgite, dunite and pyroxenite","Major:: {harzburgite},Minor:: {dunite, pyroxenite, gabbro, serpentinite}",36.316,59;62;88;128
16141,13,large,major,serpentin;ultramaf,serpentinite,Patuki Melange,"Major:: {melange},Minor:: {serpentinite, ultramafic volcanics, mafic volcanics}",5.084,63;88;161
24828,20,large,major,ultrabasic,ultramafic rock (undifferentiated),Quaternary surficial deposits; Terrace deposits,"Major: {gravel, Elkhorn Ridge Argillite basic ultrabasic rock dioritic rocks Columbia River Basalt clasts}",0.983,2;70;91
85863,210,large,minor,ultramaf,ultramafic rock (undifferentiated),Paleozoic intrusive breccia diatreme,"breccia, tuff, ultramafic intrusion, dolostone, quartzite, shale, conglomerate",0.688,8;14;15;31;76;85
