dep_id,site_name,latitude,longitude,country,state,commod1,commod2,commod3,dev_stat,prod_size,ore,gangue,hrock_type,hrock_unit,asbestos,ultramafic_host_text
10109358,Blue Grouse,44.37013,-118.88356,United States,Oregon,Chromium,,,Producer,S,Chromite,,Serpentinite,Canyon Mountain Complex,False,True
10109361,Big Jim,44.37041,-118.74466,United States,Oregon,Chromium,,,Producer,Y,,Chalcedony,Serpentinite,,False,True
10109362,Olive Lake,44.79985,-118.62606,United States,Oregon,Chromium,,,Producer,S,,,,,False,False
10109367,Brown Scratch Claim,42.38232,-123.75033,United States,Oregon,Chromium,,,Producer,Y,,,Dunite,,False,True
10109421,Murphy,40.42235,-123.33944,United States,California,Copper,Silver,,Producer,S,"Cuprite, Malachite",,Serpentinite,,False,True
10109473,Bonanza King,37.63214,-120.16016,United States,California,Gold,,,Producer,Y,Gold,Quartz,Serpentinite,,False,True
10109491,Frozen Creek Mine,43.11315,-123.20838,United States,Oregon,Chromium,,,Producer,S,Chromite,,Serpentinite,,False,True
10109494,Kalamazoo Beach Placer,42.61509,-124.39118,United States,Oregon,"Chromium, Gold",,,Producer,S,"Chromite, Gold",,Sand and Gravel,,False,False
10109505,Dolphin Mine,47.44482,-120.97924,United States,Washington,Copper,,"Silver, Gold, Cobalt, Iron",Producer,S,"Chalcopyrite, Pyrite","Quartz, Serpentine",Peridotite,Ingalls Tectonic Complex,False,True
10109512,Lucknow and Alma Reefs,-26.17517,152.64029,Australia,Queensland,"Platinum, Gold",,,Producer,Y,Gold,,"Slate,Conglomerate,Tuff",,False,False
10109513,Bengkalis,1.46811,102.1331,Indonesia,,"Gold, Platinum",,Silver,Producer,Y,,,,,False,False
10109514,Unnamed,-29.10284,153.38413,Australia,New South Wales,Platinum,,PGE,Producer,Y,,,Sand and Gravel,,False,False
10109515,Esk River,-29.35338,153.33189,Australia,New South Wales,Platinum,,PGE,Producer,S,,,Sand and Gravel,,False,False
10109517,Yellow Banks Placer,48.09422,-124.68742,United States,Washington,Gold,,"Iron, Titanium, Metal, Platinum",Producer,S,"Gold, Ilmenite, Magnetite, Platinum",,Sand and Gravel,,False,False
10109518,New Year Diggins,37.61325,-120.35627,United States,California,Gold,Platinum,,Producer,S,Gold,,Gravel,Ione Formation,False,False
10109519,Rough-And-Ready,39.23239,-121.12743,United States,California,Gold,Platinum,,Producer,S,Gold,,Gravel,,False,False
