z,x,y,source_id,n_features
5,22,29,154,1
5,22,30,154,1
5,22,31,154,1
5,23,3,2,2
5,23,4,2,4
5,23,5,2,69
5,23,5,147,22
5,23,6,2,63
5,23,6,147,27
5,23,7,2,99
5,23,7,147,7
5,23,8,2,117
5,23,9,154,5
5,23,9,2,46
5,23,10,154,29
5,23,11,154,60
5,23,12,154,42
5,23,13,154,38
5,23,14,154,32
5,23,15,154,7
5,23,23,154,1
5,23,24,154,2
5,23,25,154,1
5,23,26,154,1
5,23,27,154,1
5,23,28,154,1
5,23,29,154,1
5,23,30,154,1
5,23,31,154,1
5,24,2,2,2
5,24,3,2,90
5,24,4,2,31
5,24,5,2,133
5,24,6,2,57
5,24,7,2,83
5,24,8,2,200
5,24,9,2,122
5,24,9,154,15
5,24,10,154,54
5,24,11,154,71
5,24,12,154,62
5,24,13,154,42
5,24,14,154,39
5,24,15,154,40
5,24,16,154,11
5,24,23,154,2
5,24,24,154,2
5,24,25,154,1
5,24,26,154,1
5,24,27,154,1
5,24,28,154,1
5,24,29,154,1
5,24,30,154,1
5,24,31,154,1
5,25,3,2,4
5,25,4,2,82
5,25,5,2,107
5,25,6,2,86
5,25,7,2,130
5,25,8,2,201
5,25,9,154,17
5,25,9,2,98
5,25,10,154,51
5,25,11,154,56
5,25,12,154,50
5,25,13,154,44
5,25,14,154,67
5,25,15,154,41
5,25,16,154,25
5,25,23,154,3
5,25,24,154,3
5,25,25,154,1
5,25,26,154,1
5,25,27,154,1
5,25,28,154,1
5,25,29,154,1
5,25,30,154,1
5,25,31,154,1
5,26,5,2,31
5,26,6,2,90
5,26,7,2,76
5,26,8,2,136
5,26,9,154,28
5,26,9,2,93
5,26,10,154,40
5,26,11,154,42
5,26,12,154,63
5,26,13,154,64
5,26,14,154,37
5,26,15,154,39
5,26,16,154,69
5,26,17,11,385
5,26,17,154,11
5,26,18,154,7
5,26,18,11,1415
5,26,19,11,334
5,26,19,154,10
5,26,23,154,1
5,26,24,154,2
5,26,25,154,1
5,26,26,154,1
5,26,27,154,1
5,26,28,154,1
5,26,29,154,1
5,26,30,154,1
5,26,31,154,1
5,27,6,2,88
5,27,7,2,114
5,27,8,2,127
5,27,9,2,23
5,27,9,154,33
5,27,10,154,85
5,27,11,154,71
5,27,12,154,71
5,27,13,154,14
5,27,14,154,11
5,27,15,154,32
5,27,16,154,76
5,27,16,11,9
5,27,17,11,1741
5,27,17,154,34
5,27,18,154,1
5,27,18,11,1008
5,27,19,11,26
5,27,19,154,2
5,27,23,154,2
5,27,24,154,2
5,27,25,154,1
5,27,26,154,1
5,27,27,154,1
5,27,28,154,1
5,27,29,154,1
5,27,30,154,1
5,27,31,154,1
5,28,5,2,117
5,28,6,2,49
5,28,7,2,241
5,28,8,2,294
5,28,9,154,20
5,28,9,2,192
5,28,10,154,42
5,28,11,154,54
5,28,12,154,35
5,28,14,154,6
5,28,16,154,29
5,28,16,11,26
5,28,17,11,898
5,28,17,154,22
5,28,18,11,471
5,28,19,11,387
5,28,19,154,32
5,28,20,11,139
5,28,20,154,6
5,28,23,154,2
5,28,24,154,2
5,28,25,154,1
5,28,26,154,1
5,28,27,154,1
5,28,28,154,1
5,28,29,154,1
5,28,30,154,1
5,28,31,154,1
5,29,4,2,2
5,29,5,2,12
5,29,6,2,6
5,29,7,2,197
5,29,8,2,489
5,29,9,154,16
5,29,9,2,236
5,29,10,154,14
5,29,11,154,7
5,29,16,154,40
5,29,17,11,170
5,29,17,154,8
5,29,18,154,14
5,29,18,11,613
5,29,19,11,405
5,29,19,154,15
5,29,20,11,242
5,29,20,154,11
5,29,24,154,3
5,29,25,154,1
5,29,26,154,2
5,29,27,154,2
5,29,28,154,4
5,29,29,154,4
5,29,30,154,3
5,29,31,154,2
5,30,6,2,8
5,30,7,2,232
5,30,8,2,634
5,30,9,154,15
5,30,9,2,168
5,30,10,154,17
5,30,15,154,2
5,30,16,154,15
5,30,17,154,28
5,30,18,154,8
5,30,20,154,15
5,30,21,154,3
5,30,24,154,2
5,30,25,154,8
5,30,26,154,5
5,30,27,154,7
5,30,28,154,3
5,30,29,154,4
5,30,30,154,3
5,30,31,154,3
5,31,0,2,3
5,31,1,2,3
5,31,2,2,3
5,31,3,2,6
5,31,4,2,5
5,31,5,2,3
5,31,6,2,17
5,31,7,2,200
5,31,8,2,335
5,31,9,7,18
5,31,9,2,69
5,31,10,7,65
5,31,15,154,1
5,31,16,154,5
5,31,17,154,10
5,31,19,154,25
5,31,20,154,28
5,31,21,154,1
5,31,25,154,4
5,31,27,154,1
5,31,30,154,1
5,31,31,154,1
